Rank,ADP,Pos,Name,Team,Bye,Comp,Yards,TD,Int,Att,Yards,TD,Fum,Rec,Yards,TD,Fantasy Points,Average Auction
230,110,WR,"Cruz, Victor",NYG,11,0,0,0,0,0,0,0,1,46,554,0,46,$7
231,,TE,"Dray, Jim",CLE,11,0,0,0,0,1,4,0,1,19,239,1,46,$0
232,184,WR,"Lockett, Tyler",SEA,9,0,0,0,0,2,3,0,0,34,373,2,46,$3
233,178,WR,"Lee, Marqise",JAC,8,0,0,0,0,3,8,0,1,38,418,1,44,$2
234,304,WR,"Cotchery, Jerricho",CAR,5,0,0,0,0,2,4,0,0,38,440,1,44,$1
235,,TE,"Dickson, Ed",CAR,5,0,0,0,0,0,0,0,0,16,220,1,44,$0
236,213,QB,"Davis, Austin",STL,6,69,760,4,5,6,5,0,1,0,0,0,43,$1
237,343,WR,"Nicks, Hakeem",TEN,4,0,0,0,0,0,0,0,0,25,313,3,43,$1
238,126,RB,"Johnson, David",ARI,9,0,0,0,0,98,340,5,2,21,187,1,42,$5
239,94,RB,"Bell, Joique",DET,9,0,0,0,0,151,614,5,1,31,288,1,42,$8
240,583,QB,"Hill, Shaun",MIN,5,43,508,4,2,7,6,0,1,0,0,0,42,$0
241,261,RB,"Polk, Chris",HOU,9,0,0,0,0,90,365,5,0,9,117,1,42,$1
242,59,RB,"Murray, Latavius",OAK,6,0,0,0,0,206,925,5,1,48,389,0,42,$13
243,192,RB,"Sproles, Darren",PHI,8,0,0,0,0,54,280,6,1,32,278,0,39,$3
244,247,RB,"Starks, James",GBP,7,0,0,0,0,80,370,4,0,15,111,1,39,$1
245,257,WR,"Dobson, Aaron",NEP,4,0,0,0,0,0,0,0,0,27,315,2,39,$1
246,,TE,"Fells, Darren",ARI,9,0,0,0,0,1,1,0,1,15,202,1,39,$0
247,206,WR,"Hunter, Justin",TEN,4,0,0,0,0,0,0,0,0,23,353,2,38,$2
248,,TE,"Ellison, Rhett",MIN,5,0,0,0,0,0,0,0,0,20,186,0,38,$0
249,361,TE,"Myers, Brandon",TBB,6,0,0,0,0,0,0,0,0,20,183,0,38,$0
250,,TE,"Paulsen, Logan",WAS,8,0,0,0,0,0,0,0,2,16,149,2,38,$0
251,166,RB,"Williams, Andre",NYG,11,0,0,0,0,167,538,6,0,17,129,0,36,$2
252,279,RB,"Young, Darrel",WAS,8,0,0,0,0,9,24,2,0,11,88,2,36,$0
253,311,WR,"Gabriel, Taylor",CLE,11,0,0,0,0,2,0,0,0,30,492,1,36,$1
254,270,RB,"Grice, Marion",ARI,9,0,0,0,0,25,105,6,0,13,28,0,36,$1
255,340,TE,"Kroft, Tyler",CIN,7,0,0,0,0,0,0,0,1,18,133,1,35,$1
256,254,TE,"Fauria, Joseph",DET,9,0,0,0,0,0,0,0,0,10,134,2,35,$0
257,,WR,"Murphy, Louis",TBB,6,0,0,0,0,1,3,0,0,22,253,2,34,$1
258,262,TE,"Escobar, Gavin",DAL,6,0,0,0,0,0,0,0,0,8,80,3,34,$1
259,353,WR,"Austin, Miles",PHI,8,0,0,0,0,0,0,0,1,27,326,1,33,$1
260,537,QB,"Weeden, Brandon",DAL,6,16,227,4,0,9,0,0,0,0,0,0,33,$1
261,881,TE,"Gragg, Chris",BUF,8,0,0,0,0,0,0,0,0,15,110,1,32,$1
262,278,TE,"Pettigrew, Brandon",DET,9,0,0,0,0,0,0,0,0,17,159,0,32,$1
263,103,WR,"Green-Beckham, Dorial",TEN,4,0,0,0,0,0,0,0,0,26,364,1,32,$8
264,,WR,"Johnson, Damaris",HOU,9,0,0,0,0,4,24,0,0,31,303,0,31,$1
265,135,RB,"McFadden, Darren",DAL,6,0,0,0,0,142,570,5,1,24,157,0,30,$6
266,346,RB,"Bolden, Brandon",NEP,4,0,0,0,0,96,341,3,0,31,275,1,30,$1
267,174,RB,"Bush, Reggie",SFO,10,0,0,0,0,107,383,3,1,33,194,1,30,$4
268,,RB,"Whittaker, Fozzy",CAR,5,0,0,0,0,37,163,1,0,10,116,2,30,$1
269,214,RB,"Herron, Dan",IND,10,0,0,0,0,138,567,4,3,40,302,0,30,$1
